round,AVG RTT,AVG distance
241,0.7265768945,1.0984681129
242,1.6356930137,1.0950539339
243,1.1895373464,1.0246291647
244,1.7126239836,0.8988405868
245,0.7998645306,0.8523634554
246,1.3538263738,0.7997846037
247,1.3522543013,0.7212678739
248,1.8846988678,0.6879935855
249,1.2735389173,0.6466732652
250,1.5491321683,0.6104975149
251,1.0259412229,0.5853408871
252,1.5423186123,0.5692201656
253,0.7569156587,0.5381685219
254,0.7511861622,0.517097146
255,1.4339536428,0.5179670407
256,2.5899671018,0.4888517363
257,2.5858804584,0.4739590502
258,1.3817809522,0.4597498519
259,1.5907734633,0.4259309109
260,2.099301666,0.4112971425
261,2.1076388657,0.3790962096
262,0.7278993726,0.3691588441
263,0.8139573038,0.3542277858
264,1.3801828027,0.3409351072
265,1.3803765178,0.3253397713
266,0.7862821221,0.3174622452
267,0.2212747931,0.3040547555
268,1.4582872391,0.3027191368
269,1.9944570959,0.2946188096
270,1.9828043878,0.2857169897
271,0.7657632232,0.2817441314
272,0.849224627,0.2758679524
273,1.4021061361,0.2699119467
274,1.3805665076,0.2664493988
275,0.7569827139,0.2587873482
276,15.7095789909,0.2568958352
277,18.5006074607,0.2503574257
278,18.5238234699,0.2451662604
279,3.0201002955,0.2419998653
280,0.2349577844,0.2424267836
281,0.2258569002,0.2385202976
282,1.6998760402,0.2364425113
283,1.6992650926,0.2369861346
284,1.6952082515,0.2333228335
285,0.2193376422,0.2307134494
286,0.780057162,0.2347016449
287,1.3870000839,0.2311127345
288,2.310667187,0.2288638228
289,1.7547905445,0.232563093
290,1.142129302,0.2311751742
291,1.0016560555,0.2296945173
292,2.1334029734,0.2323216846
293,2.132050693,0.2300727284
294,1.3575330377,0.2292571812
295,0.2058856189,0.2308993688
296,0.77111274,0.2296661457
297,1.2744963169,0.2290286476
298,1.2972094119,0.2302749139
299,0.7438287139,0.2300213887
300,0.97136572,0.2293986995
301,2.1828263998,0.2306770897
302,2.1801888943,0.2307773883
303,1.4402084053,0.2305559832
304,0.2198554575,0.2311281647
305,0.8612126112,0.2314201335
306,1.3656020164,0.2314007533
307,1.3826265931,0.2314242009
308,0.7506646216,0.2329066126
309,0.2532526851,0.2340540423
310,1.3763234019,0.2331769283
311,1.3676472008,0.2340355331
312,1.3592205942,0.2334842341
313,0.2230741084,0.2317501199
314,0.8182004094,0.3047481529
315,1.7111562192,0.3019214978
316,1.7008818686,0.2819649978
317,1.1039972305,0.2717748964
318,1.8373131752,0.2747547322
319,3.2673217356,0.2544665912
320,3.2619088888,0.2463519841
321,1.636184752,0.246579736
322,0.9143874049,0.2372046613
323,1.5053227544,0.2336215744
324,1.5165172517,0.2344981019
325,0.8099414408,0.2281234647
326,0.207722187,0.2235320723
327,0.9857825935,0.2278895955
328,2.4910494685,0.2253872148
329,2.506904304,0.2209226841
330,1.7248764634,0.2222132821
331,0.8927620947,0.2212835441
332,1.7987638712,0.2204281504
333,2.3046098649,0.2212434291
334,1.644089818,0.2205790024
335,0.7339529693,0.2185643849
336,0.8115507662,0.3308870607
337,1.377876848,0.3986182162
338,1.403555274,0.3842262707
339,0.816732645,0.3678977679
340,1.5778318048,0.3127106744
341,1.5485174954,0.3274196912
342,1.5451237559,0.3207352671
343,0.2227015793,0.2695440856
344,0.2370178699,0.2674285128
345,0.8385404944,0.4254339572
346,1.3616494834,0.4717453141
347,1.3441182673,0.3734398272
348,0.7461979985,0.3500268523
349,0.8328333497,0.3504462437
350,1.4539286494,0.3349220824
351,1.4540553093,0.3171480894
352,0.843539834,0.2934474124
353,0.2241171896,0.2817060181
354,0.864058733,0.4239445042
355,1.3835839927,0.4619756908
356,1.395970583,0.3644605682
357,0.7514692843,0.3462544297
358,0.8517540991,0.3660941638
359,1.5299357474,0.3608742154
360,1.5351325274,0.3290771619
361,0.9007453918,0.2939520454
362,0.2169720829,0.2948127071
363,4.4292919338,0.4424163753
364,4.9628466368,0.4685260095
365,4.9634352326,0.4214543014
366,0.7475875318,0.4199925731
367,0.7863454521,0.3867091069
368,1.4846250415,0.3692886243
369,1.4916583896,0.3475625309
370,0.9367838502,0.3108727309
371,0.2481043339,0.2972103483
372,0.2395436168,0.292305145
373,1.010607928,0.2841842132
374,0.9978376329,0.262421134
375,1.006424427,0.2635776472
376,0.2250373363,0.2584519516
377,0.8758120239,0.2407367556
378,1.3896413147,0.2513318656
379,1.8970668316,0.2492046057
380,1.261882484,0.2275902367
381,0.7401555777,0.2363907723
382,1.4301873744,0.2381049097
383,1.9282065332,0.2215655264
384,1.9358955324,0.2219266065
385,0.7262192667,0.2237060084
386,0.2125091851,0.2174690117
387,0.7249861956,0.2197585988
388,1.9406750798,0.2197473463
389,1.9404441118,0.2138640738
390,1.4370046556,0.2150813662
391,1.9483044744,0.2171978335
392,2.4827308953,0.2129804305
393,2.470433712,0.2134732509
394,0.7524490356,0.2139082145
395,0.2177022398,0.2122930288
396,0.7343031466,0.2129855467
397,1.6638562083,0.2127310278
398,1.6640648246,0.2105284932
399,1.1475384235,0.2120944688
400,3.8735978305,0.211625327
401,4.4165812433,0.2119645544
402,4.9232132733,0.2126381287
403,1.8347501755,0.2123961028
404,1.2937746942,0.2129838056
405,0.7819868624,0.2131601773
406,2.7769431472,0.2137353193
407,3.299254924,0.2144246896
408,3.3111870289,0.2149421489
409,0.7430873811,0.2149011549
410,0.2159699798,0.2147672087
411,0.7943734527,0.2151825194
412,1.8430873752,0.2151193671
413,1.8469281495,0.2149671869
414,1.2563914061,0.2155710196
415,0.874388963,0.2142035628
416,1.5052072704,0.2142851794
417,2.0312741399,0.2159825942
418,1.371704042,0.2158155107
419,0.7543005049,0.2150446084
420,0.8480809629,0.2156064133
421,2.0348988473,0.289905344
422,2.5333501399,0.2764650712
423,1.9144117832,0.3212718557
424,0.7184520364,0.3092391952
425,0.7841996849,0.3061095695
426,1.3006925583,0.2695291704
427,1.3036094606,0.2610124247
428,0.7301531732,0.2611926607
429,0.2299621701,0.2435525166
430,2.2278726101,0.2383076954
431,2.74894014,0.2387391887
432,2.7354359627,0.2298260319
433,0.7462538779,0.2285033634
434,0.2225264907,0.2288762685
435,0.7452070713,0.2252790961
436,1.970410347,0.2239027253
437,1.9702427089,0.2254921809
438,1.4448948205,0.2219656752
439,2.4862214923,0.2218970437
440,3.0026175082,0.2237133757
441,3.0059441924,0.2217193752
442,0.7364451885,0.2218178262
443,0.2211518586,0.2235030185
444,0.805594027,0.2228009248
445,2.0510219038,0.222213937
446,2.0523481071,0.2237985667
447,1.4687627554,0.2231959927
448,0.7761344314,0.2223315686
449,1.4054253697,0.2228114267
450,1.4002285898,0.2205679748
451,0.8527897298,0.2219693276
452,0.2225637436,0.2223314949
453,0.801179558,0.2201510769
454,2.4711564183,0.2214016645
455,2.4721585214,0.2218467743
456,1.8989369273,0.2213208878
457,0.7808543742,0.2233517357
458,2.1474845707,0.22412248
459,2.6627331972,0.2250109022
460,2.1118186414,0.2256759837
